name,team,battingStyle,bowlingStyle,Total_Innings_Batted,Total_Runs,total_balls_faced,Strike_rate,Batting_Avg,Batting_Position,Boundary%,wickets,Economy,balls_ Bowled,Bowling_Strike_Rate,Average_Balls_Faced
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,1,1,1,100,1,9,0.00,1,12,24,24,1
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,4,126,78,161.53846153846155,42,5,65.08,1,9.666666666666666,54,54,19.5
Matthew Wade,Australia,Left hand Bat,Right arm Medium,3,15,15,100,7.5,7,53.33,,,,,5
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,4,106,81,130.8641975308642,26.5,3,64.15,0,14,6,0,20.25
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,1,4,7,57.14285714285714,4,9,0.00,3,8.5,72,24,7
Pat Cummins,Australia,Right hand Bat,Right arm Fast,2,21,20,105,10.5,8,66.67,3,8.25,96,32,10
Steven Smith,Australia,Right hand Bat,Legbreak Googly,1,4,4,100,4,4,100.00,,,,,4
Tim David,Australia,Right hand Bat,Right arm Offbreak,2,26,18,144.44444444444443,26,6,53.85,,,,,9
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,5,95,76,125,23.75,5,44.21,1,11,6,6,15.2
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,,,,,,,,1,7.894736842105264,19,19,
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,2,0,5,0,0,10,0.00,6,8.375,96,16,2.5
Litton Das,Bangladesh,Right hand Bat,"",5,127,89,142.69662921348313,25.4,3,58.27,,,,,17.8
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,1,11,13,84.61538461538461,11,6,0.00,0,10.666666666666666,18,0,13
Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,5,38,39,97.43589743589743,9.5,7,52.63,2,9.142857142857142,42,21,7.8
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,2,9,4,225,0,11,66.67,3,5.6,120,40,2
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,5,180,157,114.64968152866241,36,1,51.11,,,,,31.4
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,1,7,6,116.66666666666667,7,9,57.14,1,3.5,24,24,6
Nurul Hasan,Bangladesh,Right hand Bat,"",5,41,42,97.61904761904762,10.25,7,34.15,,,,,8.4
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,5,44,46,95.65217391304348,8.8,4,27.27,6,8.789473684210526,114,19,9.2
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,,,,,,,,0,14.25,24,0,
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,4,49,39,125.64102564102564,12.25,3,61.22,1,9.666666666666666,18,18,9.75
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,4,23,30,76.66666666666667,7.666666666666667,9,60.87,8,7.277777777777778,108,13.5,7.5
Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,3,5,9,55.55555555555556,2.5,7,0.00,,,,,3
Adil Rashid,England,Right hand Bat,Legbreak,,,,,,,,4,6.125,144,36,
Alex Hales,England,Right hand Bat,Right arm Medium,6,212,144,147.22222222222223,42.4,2,64.15,,,,,24
Ben Stokes,England,Left hand Bat,Right arm Fast medium,5,110,104,105.76923076923077,36.666666666666664,5,30.91,6,6.795918367346939,98,16.333333333333332,20.8
Chris Jordan,England,Right hand Bat,Right arm Fast medium,,,,,,,,5,8.75,48,9.6,
Chris Woakes,England,Right hand Bat,Right arm Fast medium,1,5,3,166.66666666666669,0,8,80.00,5,8.6,120,24,3
Dawid Malan,England,Left hand Bat,Legbreak,3,56,68,82.35294117647058,28,5,14.29,,,,,22.666666666666668
Harry Brook,England,Right hand Bat,Right arm Medium,5,56,58,96.55172413793103,11.2,5,25.00,,,,,11.6
Jos Buttler,England,Right hand Bat,"",6,225,156,144.23076923076923,45,1,61.33,,,,,26
Liam Livingstone,England,Right hand Bat,Legbreak,5,55,44,125,27.5,6,40.00,3,8,72,24,8.8
Mark Wood,England,Right hand Bat,Right arm Fast,,,,,,,,9,7.714285714285714,84,9.333333333333334,
Moeen Ali,England,Left hand Bat,Right arm Offbreak,5,57,46,123.91304347826086,19,6,52.63,0,4.5,12,0,9.2
Phil Salt,England,Right hand Bat,Right arm Offbreak,1,10,9,111.11111111111111,10,3,80.00,,,,,9
Sam Curran,England,Left hand Bat,Left arm Medium fast,2,12,14,85.71428571428571,12,7,50.00,13,6.529411764705882,136,10.461538461538462,7
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,1,2,1,200,0,11,0.00,10,7.8,120,12,1
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,3,9,9,100,4.5,7,44.44,3,8.625,80,26.666666666666668,3
Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,1,4,6,66.66666666666666,0,9,0.00,4,6.160714285714286,112,28,6
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,1,0,3,0,0,5,0.00,,,,,3
Dinesh Karthik,India,Right hand Bat,Right arm Offbreak,3,14,22,63.63636363636363,4.666666666666667,7,28.57,,,,,7.333333333333333
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,5,128,97,131.95876288659792,25.6,6,54.69,8,8.11111111111111,108,13.5,19.4
KL Rahul,India,Right hand Bat,"",6,128,106,120.75471698113208,21.333333333333332,1,62.50,,,,,17.666666666666668
Mohammed Shami,India,Right hand Bat,Right arm Fast,1,0,2,0,0,10,0.00,6,7.15,120,20,2
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,4,21,18,116.66666666666667,21,8,47.62,6,8.157894736842104,114,19,4.5
Rishabh Pant,India,Left hand Bat,"",2,9,9,100,4.5,6,44.44,,,,,4.5
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,6,116,109,106.42201834862387,19.333333333333332,2,58.62,,,,,18.166666666666668
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",6,239,126,189.68253968253967,59.75,4,66.11,,,,,21
Virat Kohli,India,Right hand Bat,Right arm Medium,6,296,217,136.40552995391707,98.66666666666667,3,50.00,,,,,36.166666666666664
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,7,153,123,124.39024390243902,21.857142857142858,2,61.44,,,,,17.571428571428573
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,5,36,33,109.09090909090908,18,10,44.44,5,9.08,150,30,6.6
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,6,126,77,163.63636363636365,25.2,6,47.62,2,9.25,48,24,12.833333333333334
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,3,12,11,109.09090909090908,4,9,66.67,1,10.8,30,30,3.6666666666666665
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,5,69,54,127.77777777777777,17.25,7,49.28,6,7.872340425531915,141,23.5,10.8
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,6,100,83,120.48192771084338,20,6,46.00,1,7,48,48,13.833333333333334
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,6,68,75,90.66666666666666,11.333333333333334,4,32.35,,,,,12.5
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,4,16,21,76.19047619047619,8,11,62.50,11,7,162,14.727272727272727,5.25
Lorcan Tucker,Ireland,Right hand Bat,"",7,204,163,125.15337423312884,40.8,3,49.02,,,,,23.285714285714285
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,5,28,31,90.32258064516128,5.6,9,35.71,4,8.833333333333334,144,36,6.2
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,7,170,127,133.85826771653544,28.333333333333332,1,58.82,,,,,18.142857142857142
Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",2,7,9,77.77777777777779,7,9,57.14,3,8.666666666666666,54,18,4.5
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,,,,,,,,3,9.6,30,10,
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,1,1,1,100,0,10,0.00,4,5.083333333333333,72,18,1
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,3,66,42,157.14285714285714,33,7,51.52,3,6.190476190476191,63,21,14
Divan la Cock,Namibia,Right hand Bat,Legbreak,2,9,11,81.81818181818183,4.5,2,44.44,,,,,5.5
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,3,52,60,86.66666666666667,17.333333333333332,5,15.38,0,5.25,24,0,20
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,3,101,93,108.6021505376344,33.666666666666664,6,29.70,3,6.545454545454546,66,22,31
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",3,21,20,105,7,4,76.19,0,8,6,0,6.666666666666667
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,3,39,23,169.56521739130434,39,8,61.54,3,7.181818181818182,66,22,7.666666666666667
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,3,33,33,100,11,1,48.48,,,,,11
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,1,25,24,104.16666666666667,0,9,40.00,0,5.5,24,0,24
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,3,49,52,94.23076923076923,16.333333333333332,3,24.49,,,,,17.333333333333332
Zane Green,Namibia,Left hand Bat,"",1,2,3,66.66666666666666,2,8,0.00,,,,,3
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,8,93,117,79.48717948717949,18.6,4,36.56,13,7.681818181818182,132,10.153846153846153,14.625
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,,,,,,,,7,6.792452830188679,53,7.571428571428571,
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,8,165,149,110.73825503355705,23.571428571428573,5,46.06,1,5.285714285714286,42,42,18.625
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,4,10,11,90.9090909090909,3.3333333333333335,10,0.00,8,6.366666666666666,180,22.5,2.75
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,4,15,23,65.21739130434783,7.5,9,0.00,3,7.653061224489797,98,32.666666666666664,5.75
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,8,242,215,112.55813953488372,34.57142857142857,2,56.20,,,,,26.875
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,4,45,27,166.66666666666669,15,11,66.67,11,6.387096774193548,186,16.90909090909091,6.75
Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,4,5,12,41.66666666666667,2.5,8,0.00,2,6.818181818181818,66,33,3
Scott Edwards,Netherlands,Right hand Bat,"",8,91,104,87.5,15.166666666666666,6,35.16,,,,,13
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,2,25,19,131.57894736842107,25,9,48.00,1,8,24,24,9.5
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,3,51,48,106.25,17,1,74.51,,,,,16
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,6,51,58,87.93103448275862,10.2,8,19.61,3,6,102,34,9.666666666666666
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,1,0,1,0,0,8,0.00,1,10,36,36,1
Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,8,107,103,103.88349514563106,13.375,5,42.99,,,,,12.875
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,5,57,62,91.93548387096774,11.4,2,56.14,,,,,12.4
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,4,109,85,128.23529411764707,54.5,6,23.85,,,,,21.25
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,5,145,124,116.93548387096774,36.25,2,41.38,,,,,24.8
Finn Allen,New Zealand,Right hand Bat,"",5,95,51,186.27450980392157,19,1,77.89,,,,,10.2
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,5,201,127,158.26771653543307,40.2,4,61.69,,,,,25.4
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,2,7,7,100,7,8,0.00,6,6.724137931034483,116,19.333333333333332,3.5
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,5,53,37,143.24324324324326,17.666666666666668,6,37.74,,,,,7.4
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,5,178,153,116.33986928104576,35.6,3,41.57,,,,,30.6
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,,,,,,,,7,8.368421052631579,114,16.285714285714285,
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,3,27,16,168.75,27,7,44.44,9,6.45,120,13.333333333333334,5.333333333333333
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,2,5,3,166.66666666666669,0,9,80.00,7,6.5769230769230775,104,14.857142857142858,1.5
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,,,,,,,,8,7.4,120,15,
Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,1,2,3,66.66666666666666,2,8,0.00,,,,,3
Babar Azam,Pakistan,Right hand Bat,Right arm Offbreak,7,124,133,93.23308270676691,17.714285714285715,2,41.94,,,,,19
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,1,20,16,125,20,3,60.00,,,,,16
Haider Ali,Pakistan,Right hand Bat,"",2,2,5,40,1,6,0.00,,,,,2.5
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,3,10,7,142.85714285714286,10,10,60.00,8,6.846153846153846,156,19.5,2.3333333333333335
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,7,114,93,122.58064516129032,22.8,5,52.63,1,7.304347826086956,23,23,13.285714285714286
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,4,97,67,144.77611940298507,24.25,4,61.86,,,,,16.75
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,5,68,64,106.25,13.6,6,58.82,3,7.444444444444445,54,18,12.8
Mohammad Rizwan,Pakistan,Right hand Bat,"",7,175,160,109.375,25,1,44.57,,,,,22.857142857142858
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,3,16,22,72.72727272727273,8,8,50.00,8,7.294117647058823,102,12.75,7.333333333333333
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,1,5,3,166.66666666666669,0,9,0.00,3,6.230769230769231,156,52,3
Shadab Khan,Pakistan,Right hand Bat,Legbreak,6,98,58,168.9655172413793,24.5,6,59.18,11,6.346153846153846,156,14.181818181818182,9.666666666666666
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,3,22,12,183.33333333333331,11,9,63.64,11,6.158940397350993,151,13.727272727272727,4
Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,7,175,148,118.24324324324324,43.75,4,30.86,,,,,21.142857142857142
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,,,,,,,,4,6.916666666666667,72,18,
Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",3,48,43,111.62790697674419,16,6,41.67,0,11,6,0,14.333333333333334
Chris Greaves,Scotland,Right hand Bat,Legbreak,2,19,18,105.55555555555556,0,7,42.11,0,9,12,0,9
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,3,121,106,114.15094339622642,60.5,1,52.89,,,,,35.333333333333336
Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,1,4,3,133.33333333333331,0,8,0.00,3,9.6,60,20,3
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,,,,,,,,5,5.833333333333333,72,14.4,
Matthew Cross,Scotland,Right hand Bat,"",3,32,33,96.96969696969697,10.666666666666666,3,62.50,,,,,11
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,3,110,77,142.85714285714286,36.666666666666664,2,58.18,,,,,25.666666666666668
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,3,33,28,117.85714285714286,16.5,6,48.48,4,6.7,60,15,9.333333333333334
Richie Berrington,Scotland,Right hand Bat,Right arm Medium fast,3,66,56,117.85714285714286,22,4,36.36,,,,,18.666666666666668
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,,,,,,,,2,8.666666666666666,54,27,
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,4,99,79,125.31645569620254,24.75,5,58.59,1,7,18,18,19.75
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,2,5,6,83.33333333333334,5,10,80.00,11,5.371428571428571,105,9.545454545454545,3
David Miller,South Africa,Left hand Bat,Right arm Offbreak,3,78,67,116.4179104477612,78,6,48.72,,,,,22.333333333333332
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,2,36,27,133.33333333333331,18,6,50.00,,,,,13.5
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,2,10,10,100,10,9,0.00,2,9.4375,96,48,5
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,1,13,12,108.33333333333333,13,8,46.15,3,7.416666666666667,72,24,12
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,1,4,1,400,0,10,100.00,7,8.923076923076923,78,11.142857142857142,1
Quinton de Kock,South Africa,Left hand Bat,"",5,124,77,161.03896103896105,31,2,75.81,,,,,15.4
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,4,141,83,169.87951807228916,35.25,3,63.83,,,,,20.75
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,1,1,1,100,0,11,0.00,4,7,48,12,1
Temba Bavuma,South Africa,Right hand Bat,Right arm Medium,5,70,62,112.90322580645163,17.5,2,51.43,,,,,12.4
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,3,31,31,100,10.333333333333334,6,45.16,,,,,10.333333333333334
Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,4,5,13,38.46153846153847,2.5,7,0.00,5,6.375,96,19.2,3.25
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,7,125,105,119.04761904761905,17.857142857142858,5,54.40,,,,,15
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,,,,,,,,2,7.3584905660377355,53,26.5,
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,6,32,38,84.21052631578947,8,8,37.50,3,8,108,36,6.333333333333333
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,7,131,113,115.929203539823,26.2,4,36.64,0,8,6,0,16.142857142857142
Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,1,0,1,0,0,4,0.00,,,,,1
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,7,78,74,105.40540540540539,13,7,53.85,1,7.578947368421053,19,19,10.571428571428571
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,8,177,137,129.19708029197082,25.285714285714285,3,47.46,6,6.821917808219179,73,12.166666666666666,17.125
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,2,9,16,56.25,9,10,0.00,4,6.893617021276596,47,11.75,8
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,1,8,21,38.095238095238095,0,10,0.00,3,8.545454545454545,66,22,21
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,8,223,156,142.94871794871796,31.857142857142858,2,57.40,,,,,19.5
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,1,4,5,80,4,11,100.00,7,7.586776859504131,121,17.285714285714285,5
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,3,11,14,78.57142857142857,11,10,54.55,9,6.696132596685082,181,20.11111111111111,4.666666666666667
Pathum Nissanka,Sri Lanka,Right hand Bat,"",7,214,196,109.18367346938776,30.571428571428573,1,46.73,,,,,28
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,2,1,1,100,1,9,0.00,3,7.5,60,20,0.5
Wanindu Hasaranga de Silva,Sri Lanka,Right hand Bat,Legbreak,6,25,34,73.52941176470588,5,8,32.00,15,6.419354838709677,186,12.4,5.666666666666667
Aayan Afzal Khan,U.A.E.,Right hand Bat,Slow Left arm Orthodox,2,24,28,85.71428571428571,12,8,16.67,2,4.75,48,24,14
Ahmed Raza,U.A.E.,Right hand Bat,Slow Left arm Orthodox,,,,,,,,0,9,6,0,
Alishan Sharafu,U.A.E.,Right hand Bat,Right arm Medium,1,4,4,100,4,4,0.00,,,,,4
Aryan Lakra,U.A.E.,Left hand Bat,Slow Left arm Orthodox,1,1,3,33.33333333333333,1,3,0.00,1,8,18,18,3
Basil Hameed,U.A.E.,Right hand Bat,Right arm Offbreak,3,31,24,129.16666666666669,15.5,6,77.42,3,7.4,30,10,8
Chirag Suri,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",2,26,39,66.66666666666666,13,2,61.54,,,,,19.5
Chundangapoyil Rizwan,U.A.E.,Right hand Bat,Legbreak Googly,3,45,34,132.35294117647058,22.5,5,40.00,,,,,11.333333333333334
Junaid Siddique,U.A.E.,Right hand Bat,Right arm Medium fast,2,18,17,105.88235294117648,18,10,55.56,4,7.916666666666667,72,18,8.5
Karthik Meiyappan,U.A.E.,Right hand Bat,Legbreak,2,4,8,50,4,9,0.00,5,6.25,72,14.4,4
Kashif Daud,U.A.E.,Right hand Bat,Right arm Medium fast,2,15,18,83.33333333333334,7.5,6,40.00,0,9.5,12,0,9
Muhammad Waseem,U.A.E.,Right hand Bat,Right arm Medium,3,93,92,101.08695652173914,31,2,40.86,1,8,12,12,30.666666666666668
Vriitya Aravind,U.A.E.,Right hand Bat,"",3,48,71,67.6056338028169,16,4,25.00,,,,,23.666666666666668
Zahoor Khan,U.A.E.,Right hand Bat,Right arm Medium fast,1,1,1,100,0,11,0.00,5,4.75,72,14.4,1
Zawar Farid,U.A.E.,Right hand Bat,Right arm Medium,1,2,4,50,2,5,0.00,0,8.470588235294118,17,0,4
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,2,24,19,126.3157894736842,24,8,33.33,2,7.833333333333333,72,36,9.5
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,1,0,1,0,0,9,0.00,6,6.916666666666667,72,12,1
Brandon King,West Indies,Right hand Bat,"",2,79,63,125.39682539682539,79,4,53.16,,,,,31.5
Evin Lewis,West Indies,Left hand Bat,"",3,42,49,85.71428571428571,14,3,33.33,,,,,16.333333333333332
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,2,42,36,116.66666666666667,21,7,52.38,5,4.741935483870967,62,12.4,18
Johnson Charles,West Indies,Right hand Bat,"",2,69,54,127.77777777777777,34.5,2,60.87,,,,,27
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,3,34,30,113.33333333333333,11.333333333333334,1,76.47,0,13.666666666666666,18,0,10
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,3,25,29,86.20689655172413,8.333333333333334,5,24.00,,,,,9.666666666666666
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,1,2,3,66.66666666666666,0,11,0.00,1,7.473684210526316,57,57,3
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,3,25,22,113.63636363636364,25,9,64.00,2,9.444444444444445,54,27,7.333333333333333
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,3,39,35,111.42857142857143,13,6,51.28,,,,,11.666666666666666
Shamarh Brooks,West Indies,Right hand Bat,Legbreak,2,4,12,33.33333333333333,2,6,0.00,,,,,6
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,4,2,12,16.666666666666664,2,11,0.00,12,7.653846153846154,156,13,3
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,2,21,17,123.52941176470588,10.5,9,28.57,2,8.142857142857142,42,21,8.5
Craig Ervine,Zimbabwe,Left hand Bat,Right arm Offbreak,7,112,125,89.60000000000001,16,2,46.43,,,,,17.857142857142858
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,4,55,41,134.14634146341464,18.333333333333332,8,54.55,2,11.8,30,15,10.25
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,7,65,82,79.26829268292683,10.833333333333334,6,30.77,,,,,11.714285714285714
Regis Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,8,45,64,70.3125,5.625,3,57.78,,,,,8
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,5,21,20,105,5.25,10,57.14,9,7.035714285714286,168,18.666666666666668,4
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,7,101,97,104.1237113402062,25.25,7,55.45,0,9.6,30,0,13.857142857142858
